Age Group,Gender,Occupation,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Top Movie 1,Top Movie 2,Top Movie 3,Top Movie 4,Top Movie 5
50-55,Female,Executive/Managerial,Like,Like,Neutral,Like,Like,Like,Neutral,Dislike,Neutral,Like,Like,Dislike,Neutral,Dislike,Neutral,Neutral,Like,Like,Goodfellas,Superbad,The Dark Knight,Borat,Heat
56+,Female,Tradesman/Craftsman,Like,Dislike,Like,Neutral,Like,Neutral,Neutral,Neutral,Like,Dislike,Like,Like,Neutral,Neutral,Dislike,Neutral,Like,Like,Mean Girls,The Hobbit,The Babadook,The Hateful Eight,Tombstone
25-34,Male,Self-Employed,Neutral,Like,Like,Neutral,Dislike,Neutral,Like,Dislike,Like,Neutral,Like,Like,Dislike,Dislike,Dislike,Like,Dislike,Neutral,The Revenant,Grease,Inside Job,The Chronicles of Narnia,The Greatest Showman
50-55,Male,Clerical/Admin,Neutral,Like,Neutral,Neutral,Like,Neutral,Dislike,Neutral,Like,Like,Like,Like,Neutral,Like,Neutral,Like,Like,Neutral,Pirates of the Caribbean,Split,The Greatest Showman,The Revenant,Hacksaw Ridge
45-49,Female,Other,Neutral,Neutral,Neutral,Neutral,Like,Like,Neutral,Neutral,Dislike,Dislike,Like,Neutral,Dislike,Like,Dislike,Dislike,Like,Like,The Magnificent Seven,Saving Private Ryan,Hereditary,American Sniper,True Grit
56+,Female,K-12 Student,Like,Like,Dislike,Like,Like,Neutral,Dislike,Dislike,Like,Like,Neutral,Like,Neutral,Neutral,Like,Dislike,Neutral,Like,Singin' in the Rain,Ex Machina,Sunset Boulevard,No Country for Old Men,Minority Report
18-24,Female,Clerical/Admin,Dislike,Like,Like,Neutral,Neutral,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Neutral,Like,Neutral,Neutral,Like,The Departed,National Treasure,The Jungle Book,Pulp Fiction,Paranormal Activity
50-55,Female,Artist,Like,Like,Like,Like,Like,Dislike,Neutral,Like,Neutral,Like,Neutral,Like,Neutral,Neutral,Dislike,Dislike,Like,Neutral,The Thin Red Line,Laura,Inception,Dumb and Dumber,The Green Mile
56+,Female,Clerical/Admin,Neutral,Neutral,Like,Like,Like,Like,Neutral,Dislike,Like,Neutral,Neutral,Dislike,Neutral,Dislike,Neutral,Like,Neutral,Neutral,Oldboy,The Incredibles,Willow,Finding Nemo,Bolt
56+,Male,College/Grad Student,Neutral,Like,Like,Like,Neutral,Like,Like,Neutral,Like,Dislike,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Grease,Looper,Pride and Prejudice,Pulp Fiction,Notting Hill
18-24,Female,Homemaker,Neutral,Like,Dislike,Like,Like,Like,Neutral,Neutral,Like,Like,Like,Neutral,Neutral,Dislike,Like,Neutral,Neutral,Like,Gilda,Get Out,Dumb and Dumber,Dune,The Godfather
56+,Male,Clerical/Admin,Like,Like,Dislike,Neutral,Neutral,Dislike,Neutral,Neutral,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Looper,The Matrix,The Conjuring,The Exorcist,Memento
25-34,Male,Lawyer,Neutral,Neutral,Neutral,Dislike,Neutral,Neutral,Neutral,Like,Like,Neutral,Neutral,Neutral,Dislike,Like,Like,Neutral,Neutral,Neutral,Minority Report,A Beautiful Mind,Stardust,The Green Mile,Pan's Labyrinth
25-34,Male,Programmer,Neutral,Neutral,Like,Neutral,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Neutral,Like,Like,Neutral,Like,Neutral,Hereditary,The Lion King,American Sniper,Ex Machina,The Babadook
45-49,Female,Retired,Dislike,Like,Neutral,Dislike,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Memento,Fury,Life of Pi,Full Metal Jacket,Edge of Tomorrow
25-34,Female,Doctor/Health Care,Like,Like,Neutral,Like,Neutral,Like,Like,Neutral,Like,Neutral,Like,Like,Dislike,Like,Neutral,Like,Like,Dislike,Split,Moana,Heat,West Side Story,The Girl on the Train
25-34,Male,Unemployed,Like,Like,Like,Neutral,Like,Dislike,Dislike,Like,Like,Neutral,Like,Dislike,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Gladiator,The Jungle Book,Anchorman,Inside Out,Harry Potter
56+,Female,Executive/Managerial,Dislike,Like,Like,Dislike,Like,Like,Dislike,Neutral,Dislike,Neutral,Like,Like,Neutral,Dislike,Neutral,Like,Like,Like,Shrek,American Sniper,Dumb and Dumber,Mystic River,Paranormal Activity
50-55,Female,Other,Like,Like,Like,Neutral,Dislike,Like,Like,Neutral,Like,Dislike,Like,Like,Dislike,Dislike,Like,Neutral,Like,Like,Seven,Percy Jackson,Letters from Iwo Jima,"The Good, the Bad and the Ugly",Pirates of the Caribbean
18-24,Male,Executive/Managerial,Neutral,Like,Like,Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Like,Dislike,Dislike,Dislike,Neutral,Neutral,Goodfellas,Brave,Paddington,The Revenant,The Sixth Sense
56+,Female,Executive/Managerial,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Neutral,Neutral,Like,Dislike,Like,Neutral,Like,Like,Neutral,The Pursuit of Happyness,Citizenfour,Dumb and Dumber,Step Brothers,The 40-Year-Old Virgin
56+,Female,Customer Service,Dislike,Neutral,Like,Like,Dislike,Like,Dislike,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Like,Neutral,Dislike,Like,Like,Letters from Iwo Jima,Cars,The Lego Movie,Pride and Prejudice,Django Unchained
18-24,Male,Retired,Neutral,Neutral,Like,Like,Dislike,Neutral,Like,Neutral,Neutral,Like,Like,Neutral,Dislike,Dislike,Like,Neutral,Like,Like,Cars,Inside Out,The Thin Red Line,Coco,The Big Sleep
18-24,Male,Technician/Engineer,Like,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Dislike,Neutral,Dislike,Like,Like,Like,Like,Dislike,Like,Neutral,Like,"The Good, the Bad and the Ugly",Mystic River,La La Land,Zodiac,John Wick
25-34,Male,Academic/Educator,Dislike,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Dislike,Dislike,Shrek,La La Land,A Walk to Remember,Bolt,Silver Linings Playbook
35-44,Female,Self-Employed,Dislike,Like,Neutral,Dislike,Like,Like,Like,Like,Dislike,Neutral,Neutral,Dislike,Neutral,Dislike,Neutral,Like,Like,Neutral,The Thin Red Line,The Pursuit of Happyness,Citizenfour,The Lord of the Rings,Fahrenheit 9/11
56+,Female,Farmer,Neutral,Neutral,Neutral,Like,Like,Like,Dislike,Like,Like,Neutral,Dislike,Like,Like,Neutral,Neutral,Neutral,Like,Like,Dunkirk,Casino,Full Metal Jacket,Mamma Mia!,Whiplash
25-34,Female,Other,Like,Like,Dislike,Dislike,Neutral,Like,Like,Neutral,Dislike,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Mad Max: Fury Road,Terminator 2,The Fault in Our Stars,The Lord of the Rings,Seven
35-44,Female,Tradesman/Craftsman,Like,Neutral,Like,Dislike,Like,Like,Like,Like,Like,Like,Neutral,Like,Like,Dislike,Dislike,Neutral,Like,Like,The Third Man,West Side Story,The Thin Red Line,Gone Girl,Fahrenheit 9/11
18-24,Male,Lawyer,Neutral,Like,Like,Neutral,Neutral,Like,Like,Like,Neutral,Neutral,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Fight Club,Seven,The Pursuit of Happyness,A Beautiful Mind,Titanic
50-55,Female,College/Grad Student,Neutral,Dislike,Like,Neutral,Dislike,Dislike,Neutral,Like,Dislike,Like,Dislike,Like,Dislike,Neutral,Dislike,Like,Like,Like,Platoon,Frozen,Singin' in the Rain,The Big Sleep,Black Swan
Under 18,Female,Sales/Marketing,Like,Like,Neutral,Like,Neutral,Dislike,Neutral,Dislike,Neutral,Like,Like,Dislike,Like,Like,Like,Like,Neutral,Like,The Hateful Eight,Out of the Past,The Fault in Our Stars,A Walk to Remember,The Matrix
35-44,Female,Self-Employed,Neutral,Neutral,Like,Dislike,Like,Neutral,Neutral,Like,Dislike,Dislike,Neutral,Like,Neutral,Dislike,Like,Neutral,Like,Like,Full Metal Jacket,Dunkirk,Finding Nemo,Letters from Iwo Jima,Dune
18-24,Other,Writer,Neutral,Neutral,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Neutral,Dislike,Like,Neutral,Neutral,The Girl on the Train,Ratatouille,Fahrenheit 9/11,Coco,Toy Story
18-24,Male,Sales/Marketing,Dislike,Dislike,Neutral,Like,Neutral,Like,Neutral,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Shutter Island,The Pursuit of Happyness,Double Indemnity,Harry Potter,The Departed
56+,Female,Unemployed,Like,Like,Neutral,Neutral,Dislike,Like,Neutral,Like,Like,Neutral,Neutral,Like,Dislike,Like,Like,Like,Dislike,Like,Stardust,Into the Woods,"The Good, the Bad and the Ugly",Blade Runner 2049,The Matrix
Under 18,Male,Farmer,Dislike,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Like,Neutral,Minority Report,The Pursuit of Happyness,District 9,The Shawshank Redemption,Whiplash
18-24,Male,Artist,Like,Neutral,Neutral,Neutral,Like,Dislike,Dislike,Like,Dislike,Dislike,Dislike,Neutral,Dislike,Like,Dislike,Neutral,Neutral,Like,The Hangover,The Magnificent Seven,The Pursuit of Happyness,Superbad,John Wick
56+,Female,Self-Employed,Neutral,Like,Dislike,Neutral,Neutral,Neutral,Like,Like,Neutral,Like,Like,Like,Like,Neutral,Like,Dislike,Dislike,Like,Chicago,Elysium,Prisoners,Gilda,Gone Girl
35-44,Female,Sales/Marketing,Dislike,Like,Dislike,Neutral,Like,Dislike,Neutral,Neutral,Like,Like,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Borat,The Silence of the Lambs,Open Range,Touch of Evil,Bridesmaids
35-44,Male,Academic/Educator,Neutral,Neutral,Neutral,Like,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,Like,Like,Like,Like,Like,Neutral,Neutral,A Beautiful Mind,Prisoners,Whiplash,The Social Dilemma,The Fault in Our Stars
25-34,Male,Clerical/Admin,Like,Like,Neutral,Dislike,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Like,Like,Like,Like,Like,Like,Neutral,13th,Mad Max: Fury Road,Terminator 2,Fury,Looper
Under 18,Male,Programmer,Like,Neutral,Neutral,Neutral,Like,Like,Like,Like,Dislike,Like,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Like,Neutral,The Maltese Falcon,Hacksaw Ridge,John Wick,Free Solo,Fight Club
Under 18,Male,College/Grad Student,Dislike,Dislike,Neutral,Like,Neutral,Neutral,Dislike,Like,Neutral,Neutral,Like,Like,Dislike,Neutral,Neutral,Dislike,Like,Dislike,Full Metal Jacket,Minions,Hereditary,Moonlight,The Conjuring
50-55,Female,Academic/Educator,Dislike,Like,Like,Neutral,Dislike,Like,Like,Dislike,Like,Neutral,Dislike,Neutral,Neutral,Like,Like,Like,Neutral,Neutral,National Treasure,The Lion King,Won’t You Be My Neighbor?,Blackfish,Black Swan
Under 18,Male,Unemployed,Dislike,Neutral,Neutral,Like,Dislike,Like,Neutral,Like,Dislike,Neutral,Dislike,Like,Neutral,Dislike,Like,Like,Like,Like,Platoon,Mamma Mia!,The Matrix,Into the Woods,No Country for Old Men
18-24,Female,K-12 Student,Like,Neutral,Neutral,Neutral,Dislike,Like,Like,Neutral,Neutral,Neutral,Like,Dislike,Like,Like,Dislike,Like,Neutral,Neutral,John Wick,Mystic River,Heat,Free Solo,13th
Under 18,Male,Clerical/Admin,Like,Dislike,Neutral,Like,Like,Neutral,Like,Neutral,Like,Neutral,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Skyfall,Black Swan,Get Out,Mean Girls,Before Sunrise
35-44,Male,Other,Like,Like,Like,Neutral,Neutral,Like,Like,Neutral,Neutral,Dislike,Neutral,Like,Neutral,Dislike,Neutral,Dislike,Dislike,Dislike,Finding Nemo,The Greatest Showman,Die Hard,The Lion King,Grease
18-24,Female,K-12 Student,Dislike,Like,Neutral,Neutral,Dislike,Like,Like,Like,Like,Like,Like,Neutral,Neutral,Neutral,Like,Like,Neutral,Dislike,The Departed,Blackfish,Goodfellas,The Green Mile,The Big Sleep
25-34,Female,Tradesman/Craftsman,Neutral,Dislike,Like,Neutral,Neutral,Like,Dislike,Like,Neutral,Neutral,Dislike,Like,Like,Dislike,Like,Neutral,Dislike,Like,Into the Woods,District 9,The Sound of Music,Coco,Goodfellas
18-24,Female,Academic/Educator,Dislike,Like,Like,Neutral,Like,Neutral,Neutral,Like,Like,Like,Like,Dislike,Dislike,Like,Neutral,Like,Dislike,Like,Prisoners,Sunset Boulevard,Night and the City,Borat,The Shawshank Redemption
50-55,Male,Scientist,Like,Like,Like,Neutral,Dislike,Dislike,Dislike,Like,Neutral,Like,Like,Like,Dislike,Neutral,Like,Dislike,Like,Like,Singin' in the Rain,Avatar,La La Land,It,The Shawshank Redemption
25-34,Female,Tradesman/Craftsman,Neutral,Neutral,Like,Like,Like,Like,Like,Neutral,Neutral,Like,Like,Dislike,Like,Neutral,Dislike,Like,Neutral,Like,No Country for Old Men,Seven,Superbad,Black Swan,"The Good, the Bad and the Ugly"
Under 18,Female,Scientist,Dislike,Neutral,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Like,Harry Potter,The Chronicles of Narnia,Inside Job,No Country for Old Men,Goodfellas
56+,Female,Homemaker,Like,Dislike,Neutral,Neutral,Neutral,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Neutral,Like,Neutral,Like,The Hobbit,Knives Out,Notting Hill,The Golden Compass,John Wick
50-55,Male,K-12 Student,Like,Neutral,Like,Like,Like,Like,Like,Like,Neutral,Like,Dislike,Neutral,Dislike,Like,Like,Like,Dislike,Like,Tombstone,The Pursuit of Happyness,Nightcrawler,Dune,Borat
56+,Male,Tradesman/Craftsman,Like,Dislike,Neutral,Like,Like,Like,Dislike,Like,Neutral,Like,Dislike,Like,Neutral,Dislike,Neutral,Dislike,Like,Like,Mamma Mia!,Les Misérables,Despicable Me,Full Metal Jacket,Out of the Past
45-49,Female,K-12 Student,Neutral,Neutral,Dislike,Like,Neutral,Like,Like,Like,Neutral,Like,Dislike,Neutral,Dislike,Neutral,Neutral,Neutral,Like,Dislike,Fury,Night and the City,Won’t You Be My Neighbor?,Touch of Evil,Casino
50-55,Male,Customer Service,Dislike,Like,Dislike,Like,Like,Like,Neutral,Like,Neutral,Neutral,Like,Like,Like,Neutral,Dislike,Like,Like,Neutral,Brave,No Country for Old Men,Black Swan,American Beauty,Mystic River
25-34,Male,Unemployed,Neutral,Neutral,Neutral,Like,Dislike,Neutral,Like,Like,Like,Like,Neutral,Dislike,Like,Like,Dislike,Neutral,Neutral,Neutral,Willow,Fight Club,The Others,Inside Job,American Beauty
Under 18,Female,Unemployed,Dislike,Like,Like,Like,Like,Neutral,Dislike,Dislike,Neutral,Like,Like,Neutral,Neutral,Dislike,Neutral,Dislike,Like,Dislike,Saving Private Ryan,It,Out of the Past,National Treasure,Ratatouille
45-49,Male,Sales/Marketing,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Neutral,Like,Dislike,Like,Neutral,Like,Like,The Jungle Book,The Big Sleep,Fight Club,Jiro Dreams of Sushi,The Avengers
35-44,Female,Customer Service,Neutral,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Neutral,Like,Like,Dislike,Like,Dislike,Dislike,Neutral,Brave,The Godfather,Dumb and Dumber,Jiro Dreams of Sushi,The Sixth Sense
25-34,Female,Lawyer,Like,Dislike,Like,Neutral,Like,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Like,Neutral,Like,Like,Like,Neutral,No Country for Old Men,Prisoners,Letters from Iwo Jima,Skyfall,John Wick
Under 18,Male,Unemployed,Dislike,Like,Neutral,Like,Like,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Dislike,Neutral,Neutral,Dislike,Neutral,The 40-Year-Old Virgin,National Treasure,Paddington,Harry Potter,Percy Jackson
45-49,Female,Customer Service,Neutral,Neutral,Like,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,Like,Like,Like,Dislike,Neutral,Neutral,Neutral,Like,The Exorcist,The Godfather,Knives Out,A Quiet Place,The 40-Year-Old Virgin
56+,Female,Programmer,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,Dislike,Like,Neutral,Like,Neutral,The Thin Red Line,The Green Mile,1917,American Gangster,Casino
45-49,Female,Sales/Marketing,Like,Like,Neutral,Like,Neutral,Dislike,Like,Like,Neutral,Neutral,Like,Neutral,Dislike,Dislike,Like,Like,Dislike,Like,The Avengers,The Dark Knight,Oldboy,Forrest Gump,Minority Report
25-34,Male,Unemployed,Dislike,Dislike,Dislike,Dislike,Neutral,Like,Like,Like,Like,Neutral,Dislike,Like,Like,Like,Neutral,Neutral,Neutral,Like,Gone Girl,Fahrenheit 9/11,Silver Linings Playbook,American Beauty,A Beautiful Mind
45-49,Male,Executive/Managerial,Dislike,Like,Like,Like,Like,Neutral,Like,Neutral,Neutral,Dislike,Like,Like,Like,Neutral,Dislike,Neutral,Neutral,Neutral,Into the Woods,Shrek,Won’t You Be My Neighbor?,The Hangover,Napoleon Dynamite
18-24,Male,Homemaker,Neutral,Like,Neutral,Like,Neutral,Dislike,Neutral,Dislike,Like,Neutral,Like,Like,Like,Neutral,Like,Like,Neutral,Like,Prisoners,Paddington,Minions,Stardust,Gone Girl
45-49,Male,Artist,Dislike,Neutral,Like,Like,Neutral,Neutral,Neutral,Like,Dislike,Like,Dislike,Dislike,Like,Neutral,Neutral,Dislike,Neutral,Dislike,Cars,The Big Sleep,Zootopia,Out of the Past,Touch of Evil
56+,Male,Clerical/Admin,Like,Like,Like,Dislike,Like,Neutral,Dislike,Neutral,Like,Neutral,Neutral,Like,Neutral,Dislike,Neutral,Like,Neutral,Dislike,Nightcrawler,The Greatest Showman,Frozen,Harry Potter,Chicago
35-44,Male,Executive/Managerial,Like,Like,Dislike,Dislike,Like,Like,Like,Neutral,Neutral,Like,Dislike,Like,Like,Neutral,Neutral,Dislike,Like,Like,Indiana Jones,The Greatest Showman,Heat,The Sixth Sense,Dunkirk
Under 18,Male,Writer,Like,Like,Dislike,Neutral,Like,Neutral,Like,Like,Neutral,Like,Like,Neutral,Dislike,Neutral,Neutral,Neutral,Like,Neutral,Avatar,American Sniper,Indiana Jones,Pirates of the Caribbean,A Beautiful Mind
Under 18,Female,Customer Service,Like,Dislike,Like,Like,Neutral,Dislike,Neutral,Dislike,Like,Like,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Dislike,Dislike,The Lion King,Mystic River,The Big Sleep,Finding Nemo,Paddington
Under 18,Male,Customer Service,Like,Neutral,Neutral,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Dislike,Neutral,Like,Like,Neutral,Dislike,Dislike,Like,The Sixth Sense,Pride and Prejudice,Touch of Evil,Mad Max: Fury Road,Laura
Under 18,Male,Technician/Engineer,Neutral,Like,Dislike,Neutral,Dislike,Dislike,Neutral,Neutral,Like,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Like,3:10 to Yuma,Prisoners,Sunset Boulevard,The Chronicles of Narnia,The Ring
35-44,Male,Programmer,Like,Like,Like,Dislike,Like,Dislike,Like,Neutral,Like,Like,Neutral,Like,Like,Like,Dislike,Dislike,Neutral,Dislike,Knives Out,Ratatouille,Bridesmaids,The Avengers,The Notebook
45-49,Female,Artist,Like,Like,Like,Like,Neutral,Dislike,Neutral,Neutral,Like,Dislike,Neutral,Neutral,Like,Dislike,Like,Dislike,Like,Like,The Lord of the Rings,The Revenant,Inside Out,Zodiac,Skyfall
50-55,Male,K-12 Student,Like,Like,Like,Like,Like,Neutral,Dislike,Dislike,Dislike,Neutral,Like,Like,Like,Like,Neutral,Like,Neutral,Like,Brave,Silver Linings Playbook,Skyfall,Moana,Life of Pi
Under 18,Male,Doctor/Health Care,Neutral,Like,Neutral,Like,Neutral,Like,Like,Neutral,Neutral,Like,Like,Dislike,Like,Neutral,Like,Like,Like,Neutral,Edge of Tomorrow,Free Solo,District 9,Split,The Conjuring
Under 18,Male,Clerical/Admin,Like,Dislike,Like,Neutral,Neutral,Dislike,Like,Like,Like,Neutral,Dislike,Like,Like,Dislike,Like,Neutral,Neutral,Neutral,The Prestige,Fantastic Beasts,Inside Out,Ratatouille,Minority Report
25-34,Male,College/Grad Student,Like,Like,Like,Neutral,Dislike,Like,Like,Neutral,Dislike,Like,Like,Neutral,Neutral,Dislike,Like,Neutral,Like,Dislike,The Lion King,Gladiator,Avatar,Double Indemnity,The Lord of the Rings
45-49,Male,Executive/Managerial,Dislike,Like,Like,Like,Neutral,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Like,Neutral,Dislike,Neutral,Like,Double Indemnity,Despicable Me,13th,The Pursuit of Happyness,Pirates of the Caribbean
50-55,Other,Technician/Engineer,Like,Neutral,Neutral,Like,Like,Dislike,Dislike,Neutral,Dislike,Neutral,Like,Dislike,Like,Like,Neutral,Like,Like,Like,Oldboy,Mean Girls,Before Sunrise,The Ring,3:10 to Yuma
45-49,Male,Scientist,Neutral,Dislike,Neutral,Dislike,Like,Neutral,Dislike,Like,Neutral,Like,Like,Dislike,Neutral,Neutral,Like,Dislike,Like,Like,Django Unchained,1917,Dunkirk,Platoon,Anchorman
45-49,Female,Tradesman/Craftsman,Dislike,Like,Like,Neutral,Dislike,Like,Neutral,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Neutral,Pirates of the Caribbean,Platoon,500 Days of Summer,Life of Pi,American Gangster
Under 18,Female,Artist,Neutral,Like,Neutral,Neutral,Dislike,Like,Dislike,Neutral,Neutral,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,The Others,Pulp Fiction,The Greatest Showman,King Kong,Se7en
18-24,Male,Executive/Managerial,Neutral,Like,Dislike,Like,Like,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Dislike,Like,The Social Dilemma,Interstellar,The Chronicles of Narnia,Jiro Dreams of Sushi,The Jungle Book
56+,Male,College/Grad Student,Like,Like,Like,Dislike,Like,Like,Dislike,Neutral,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,The Big Sleep,The Girl with the Dragon Tattoo,Laura,Gladiator,Out of the Past
25-34,Female,Lawyer,Like,Neutral,Dislike,Dislike,Dislike,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Dislike,Neutral,Like,Like,Neutral,Neutral,Like,District 9,Sunset Boulevard,Tombstone,La La Land,Terminator 2
56+,Male,Lawyer,Like,Like,Like,Dislike,Neutral,Like,Neutral,Neutral,Dislike,Like,Dislike,Like,Like,Neutral,Like,Dislike,Dislike,Like,Zootopia,The Bourne Ultimatum,Ex Machina,Out of the Past,Singin' in the Rain
56+,Male,Programmer,Neutral,Dislike,Dislike,Like,Neutral,Like,Like,Like,Like,Like,Neutral,Like,Neutral,Like,Neutral,Like,Neutral,Dislike,The Green Mile,La La Land,No Country for Old Men,The Greatest Showman,Stardust
25-34,Male,Unemployed,Dislike,Like,Like,Like,Like,Neutral,Like,Dislike,Like,Like,Dislike,Dislike,Dislike,Like,Neutral,Like,Like,Dislike,Out of the Past,Mean Girls,Platoon,Full Metal Jacket,Gone Girl
25-34,Female,Writer,Like,Like,Like,Like,Like,Like,Dislike,Like,Neutral,Neutral,Like,Dislike,Neutral,Like,Dislike,Like,Like,Like,Die Hard,The Magnificent Seven,Brave,Life of Pi,Toy Story
18-24,Female,Technician/Engineer,Like,Neutral,Neutral,Neutral,Like,Like,Like,Neutral,Neutral,Dislike,Neutral,Like,Neutral,Like,Neutral,Like,Like,Like,Mamma Mia!,The Notebook,Les Misérables,Letters from Iwo Jima,The Cove
45-49,Male,K-12 Student,Like,Like,Like,Dislike,Like,Like,Neutral,Neutral,Dislike,Like,Dislike,Dislike,Like,Dislike,Like,Like,Neutral,Dislike,Interstellar,The Departed,Inception,The Maltese Falcon,The Big Sleep
45-49,Male,Homemaker,Neutral,Like,Neutral,Like,Neutral,Dislike,Like,Dislike,Neutral,Like,Like,Neutral,Neutral,Dislike,Neutral,Dislike,Like,Like,The Incredibles,The Social Dilemma,Out of the Past,The Lord of the Rings,Tombstone
25-34,Male,Self-Employed,Dislike,Like,Like,Like,Dislike,Neutral,Like,Like,Neutral,Neutral,Like,Neutral,Like,Neutral,Neutral,Neutral,Dislike,Neutral,Shrek,The King's Speech,It,Zodiac,The Social Dilemma
45-49,Female,Other,Neutral,Like,Like,Dislike,Neutral,Like,Like,Neutral,Like,Like,Neutral,Dislike,Neutral,Like,Neutral,Neutral,Like,Neutral,The Big Sleep,Fury,No Country for Old Men,Percy Jackson,Indiana Jones
45-49,Female,Customer Service,Neutral,Neutral,Like,Neutral,Dislike,Dislike,Like,Like,Neutral,Dislike,Like,Neutral,Neutral,Neutral,Like,Neutral,Like,Neutral,The Exorcist,Ex Machina,The Shawshank Redemption,Saving Private Ryan,Looper
35-44,Male,Lawyer,Like,Neutral,Dislike,Dislike,Like,Neutral,Neutral,Dislike,Neutral,Like,Like,Neutral,Like,Like,Like,Dislike,Like,Neutral,Dumb and Dumber,The Fault in Our Stars,A Walk to Remember,Step Brothers,The Ring
45-49,Male,Customer Service,Neutral,Like,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Into the Woods,The Departed,Letters from Iwo Jima,The Jungle Book,Fahrenheit 9/11
45-49,Female,Tradesman/Craftsman,Like,Like,Dislike,Neutral,Neutral,Dislike,Dislike,Like,Neutral,Like,Dislike,Dislike,Neutral,Like,Like,Dislike,Dislike,Like,Dune,Indiana Jones,A Beautiful Mind,Life of Pi,500 Days of Summer
56+,Male,Executive/Managerial,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Neutral,Like,Neutral,Neutral,Like,Neutral,Like,Citizenfour,Get Out,Black Swan,The Golden Compass,Unforgiven
Under 18,Female,Lawyer,Neutral,Like,Like,Like,Neutral,Like,Dislike,Neutral,Neutral,Like,Like,Neutral,Like,Like,Like,Neutral,Neutral,Dislike,The Matrix,Pulp Fiction,The Third Man,King Kong,Knives Out
56+,Female,Unemployed,Like,Like,Like,Dislike,Neutral,Like,Like,Neutral,Like,Like,Neutral,Like,Neutral,Dislike,Neutral,Like,Like,Dislike,Stardust,Inception,Full Metal Jacket,Les Misérables,Ratatouille
35-44,Female,Academic/Educator,Like,Neutral,Like,Neutral,Neutral,Neutral,Dislike,Neutral,Like,Dislike,Neutral,Neutral,Like,Dislike,Like,Like,Like,Neutral,Se7en,Letters from Iwo Jima,Minority Report,Shutter Island,The Golden Compass
50-55,Female,Other,Like,Neutral,Neutral,Neutral,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Neutral,Like,Like,Neutral,Neutral,Terminator 2,The Babadook,Mystic River,Black Swan,Night and the City
50-55,Female,Customer Service,Like,Like,Like,Like,Like,Like,Neutral,Dislike,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Dislike,Like,Indiana Jones,Laura,The Lego Movie,3:10 to Yuma,Prisoners
